Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Min Price
0.05,0.95,0.19,235876.9651,40500000,0.000710701
0.05,0.95,0.2,252412.1896,40000000,0.00074179
0.05,0.95,0.21,269457.1319,39500000,0.000774359
0.05,0.95,0.22,287028.6365,39000000,0.000808488
0.05,0.95,0.23,305144.1814,38500000,0.000844263
0.05,0.95,0.24,323821.9061,38000000,0.000881774
0.05,0.95,0.25,343080.6419,37500000,0.000921118
0.05,0.95,0.26,362939.943,37000000,0.000962398
0.05,0.95,0.27,383420.1202,36500000,0.001005722
0.05,0.95,0.28,404542.2755,36000000,0.001051207
0.05,0.95,0.29,426328.3394,35500000,0.001098979
0.05,0.95,0.3,448801.1105,35000000,0.001149169
0.05,0.95,0.31,471984.2964,34500000,0.001201921
0.05,0.95,0.32,495902.5582,34000000,0.001257386
0.05,0.95,0.33,520581.5569,33500000,0.001315726
0.05,0.95,0.34,546048.0029,33000000,0.001377116
0.05,0.95,0.35,572329.7086,32500000,0.001441743
0.05,0.95,0.36,599455.6441,32000000,0.001509807
0.05,0.95,0.37,627455.9962,31500000,0.001581524
0.05,0.95,0.38,656362.2322,31000000,0.001657123
0.05,0.95,0.39,686207.1664,30500000,0.001736855
0.05,0.95,0.4,717025.0322,30000000,0.001820987
0.05,0.95,0.41,748851.5584,29500000,0.001909809
0.05,0.95,0.42,781724.0509,29000000,0.002003631
0.05,0.95,0.43,815681.4801,28500000,0.00210279
0.05,0.95,0.44,850764.5743,28000000,0.002207651
0.05,0.95,0.45,887015.9198,27500000,0.002318608
0.05,0.95,0.46,924480.0687,27000000,0.002436088
0.05,0.95,0.47,963203.654,26500000,0.002560555
0.05,0.95,0.48,1003235.514,26000000,0.002692513
0.05,0.95,0.49,1044626.826,25500000,0.002832511
0.05,0.95,0.5,1087431.25,25000000,0.002981146
0.05,0.95,0.51,1131705.086,24500000,0.003139071
0.05,0.95,0.52,1177507.441,24000000,0.003306999
0.05,0.95,0.53,1224900.41,23500000,0.00348571
0.05,0.95,0.54,1273949.278,23000000,0.00367606
0.05,0.95,0.55,1324722.733,22500000,0.00387899
0.05,0.95,0.56,1377293.098,22000000,0.004095534
0.05,0.95,0.57,1431736.591,21500000,0.004326832
0.05,0.95,0.58,1488133.601,21000000,0.004574144
0.05,0.95,0.59,1546568.994,20500000,0.004838865
0.05,0.95,0.6,1607132.451,20000000,0.005122542
0.05,0.95,0.61,1669918.836,19500000,0.005426893
0.05,0.95,0.62,1735028.602,19000000,0.005753837
0.05,0.95,0.63,1802568.243,18500000,0.006105515
0.05,0.95,0.64,1872650.794,18000000,0.006484325
0.05,0.95,0.65,1945396.382,17500000,0.006892963
0.05,0.95,0.66,2020932.85,17000000,0.007334465
0.05,0.95,0.67,2099396.444,16500000,0.007812265
0.05,0.95,0.68,2180932.593,16000000,0.008330253
0.05,0.95,0.69,2265696.785,15500000,0.00889286
0.05,0.95,0.7,2353855.552,15000000,0.009505146
0.05,0.95,0.71,2445587.595,14500000,0.010172913
0.05,0.95,0.72,2541085.067,14000000,0.010902845
0.05,0.95,0.73,2640555.037,13500000,0.011702677
0.05,0.95,0.74,2744221.183,13000000,0.012581403
0.05,0.95,0.75,2852325.741,12500000,0.013549533
0.05,0.95,0.76,2965131.789,12000000,0.014619427
0.05,0.95,0.77,3082925.91,11500000,0.015805703
0.05,0.95,0.78,3206021.338,11000000,0.017125769
0.05,0.95,0.79,3334761.698,10500000,0.018600505
0.05,0.95,0.8,3469525.481,10000000,0.02025516
0.05,0.95,0.81,3610731.456,9500000,0.022120525
0.05,0.95,0.82,3758845.266,9000000,0.024234519
0.05,0.95,0.83,3914387.564,8500000,0.026644337
0.05,0.95,0.84,4077944.155,8000000,0.029409418
0.05,0.95,0.85,4250178.811,7500000,0.03260562
0.05,0.95,0.86,4431849.694,7000000,0.036331218
0.05,0.95,0.87,4623830.738,6500000,0.040715706
